X×ø±ê(m),Y×ø±ê(m),Z×ø±ê(m)
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
0.0,0.0,10.0
