X×ø±ê(m),Y×ø±ê(m),Z×ø±ê(m)
40.0,40.0,20.0
39.678714859437754,39.678714859437754,19.919678714859437
39.3574297188755,39.3574297188755,19.839357429718877
39.036144578313255,39.036144578313255,19.759036144578314
38.714859437751,38.714859437751,19.67871485943775
38.393574297188756,38.393574297188756,19.598393574297187
38.0722891566265,38.0722891566265,19.518072289156628
37.75100401606426,37.75100401606426,19.437751004016064
37.429718875502004,37.429718875502004,19.3574297188755
37.10843373493976,37.10843373493976,19.27710843373494
36.78714859437751,36.78714859437751,19.196787148594378
36.46586345381526,36.46586345381526,19.116465863453815
36.144578313253014,36.144578313253014,19.03614457831325
35.82329317269076,35.82329317269076,18.955823293172692
35.502008032128515,35.502008032128515,18.87550200803213
35.18072289156626,35.18072289156626,18.795180722891565
34.859437751004016,34.859437751004016,18.714859437751002
34.53815261044177,34.53815261044177,18.634538152610443
34.21686746987952,34.21686746987952,18.55421686746988
33.89558232931727,33.89558232931727,18.473895582329316
33.57429718875502,33.57429718875502,18.393574297188756
33.25301204819277,33.25301204819277,18.313253012048193
32.93172690763052,32.93172690763052,18.23293172690763
32.610441767068274,32.610441767068274,18.152610441767067
32.28915662650603,32.28915662650603,18.072289156626507
31.967871485943775,31.967871485943775,17.991967871485944
31.646586345381525,31.646586345381525,17.91164658634538
31.325301204819276,31.325301204819276,17.83132530120482
31.00401606425703,31.00401606425703,17.751004016064257
30.682730923694777,30.682730923694777,17.670682730923694
30.36144578313253,30.36144578313253,17.59036144578313
30.04016064257028,30.04016064257028,17.51004016064257
29.718875502008032,29.718875502008032,17.429718875502008
29.397590361445783,29.397590361445783,17.349397590361445
29.076305220883533,29.076305220883533,17.269076305220885
28.755020080321287,28.755020080321287,17.188755020080322
28.433734939759034,28.433734939759034,17.10843373493976
28.11244979919679,28.11244979919679,17.028112449799195
27.79116465863454,27.79116465863454,16.947791164658636
27.46987951807229,27.46987951807229,16.867469879518072
27.14859437751004,27.14859437751004,16.78714859437751
26.82730923694779,26.82730923694779,16.70682730923695
26.50602409638554,26.50602409638554,16.626506024096386
26.184738955823292,26.184738955823292,16.546184738955823
25.863453815261046,25.863453815261046,16.46586345381526
25.542168674698793,25.542168674698793,16.3855421686747
25.220883534136547,25.220883534136547,16.305220883534137
24.899598393574298,24.899598393574298,16.224899598393574
24.57831325301205,24.57831325301205,16.144578313253014
24.2570281124498,24.2570281124498,16.06425702811245
23.93574297188755,23.93574297188755,15.983935742971887
23.6144578313253,23.6144578313253,15.903614457831324
23.29317269076305,23.29317269076305,15.823293172690763
22.971887550200805,22.971887550200805,15.742971887550201
22.650602409638555,22.650602409638555,15.662650602409638
22.329317269076306,22.329317269076306,15.582329317269076
22.008032128514056,22.008032128514056,15.502008032128515
21.686746987951807,21.686746987951807,15.421686746987952
21.365461847389557,21.365461847389557,15.341365461847388
21.044176706827308,21.044176706827308,15.261044176706827
20.722891566265062,20.722891566265062,15.180722891566266
20.401606425702813,20.401606425702813,15.100401606425702
20.080321285140563,20.080321285140563,15.02008032128514
19.759036144578314,19.759036144578314,14.93975903614458
19.437751004016064,19.437751004016064,14.859437751004016
19.116465863453815,19.116465863453815,14.779116465863453
18.795180722891565,18.795180722891565,14.698795180722891
18.473895582329316,18.473895582329316,14.61847389558233
18.152610441767067,18.152610441767067,14.538152610441767
17.83132530120482,17.83132530120482,14.457831325301205
17.51004016064257,17.51004016064257,14.377510040160644
17.188755020080322,17.188755020080322,14.29718875502008
16.867469879518072,16.867469879518072,14.216867469879517
16.546184738955823,16.546184738955823,14.136546184738956
16.224899598393574,16.224899598393574,14.056224899598394
15.903614457831324,15.903614457831324,13.975903614457831
15.582329317269078,15.582329317269078,13.89558232931727
15.261044176706829,15.261044176706829,13.815261044176708
14.93975903614458,14.93975903614458,13.734939759036145
14.61847389558233,14.61847389558233,13.654618473895582
14.29718875502008,14.29718875502008,13.57429718875502
13.975903614457831,13.975903614457831,13.493975903614459
13.654618473895582,13.654618473895582,13.413654618473895
13.333333333333332,13.333333333333332,13.333333333333332
13.012048192771083,13.012048192771083,13.25301204819277
12.690763052208837,12.690763052208837,13.17269076305221
12.369477911646587,12.369477911646587,13.092369477911646
12.048192771084338,12.048192771084338,13.012048192771084
